Gen	A-1	A-2	A-3	A-4	A-5	A-6	A+1	A+2	A+3	A+4	A+5	A+6
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
500	1.2243	1.116	1.086	1.1921	1.0869	1.0662	1.1565	1.1403	1.1712	1.0911	1.1724	1.2312
1000	1.2209	1.2938	1.2546	1.2601	1.1619	1.1937	1.1251	1.1848	1.1599	1.212	1.14	1.2214
1500	1.3299	1.2285	1.3346	1.2249	1.1532	1.249	1.2194	1.2311	1.3055	1.2588	1.2053	1.3151
2000	1.2316	1.2514	1.2308	1.232	1.2611	1.2483	1.2204	1.1524	1.1561	1.2482	1.2218	1.2128
2500	1.2763	1.2887	1.2209	1.278	1.2214	1.2248	1.2989	1.3541	1.2849	1.2652	1.3081	1.3234
3000	1.2483	1.4941	1.2771	1.3477	1.2438	1.3256	1.4745	1.1707	1.4341	1.4078	1.3928	1.3703
3500	1.3962	1.5036	1.4221	1.368	1.3338	1.2928	1.276	1.3147	1.3154	1.3632	1.3859	1.4065
4000	1.4306	1.3796	1.3183	1.4037	1.2935	1.3395	1.4125	1.3865	1.3606	1.4238	1.4021	1.349
4500	1.4056	1.6358	1.4215	1.5035	1.3553	1.4425	1.4692	1.4753	1.5136	1.5622	1.5012	1.5717
5000	1.4562	1.289	1.4042	1.3469	1.3939	1.4794	1.5416	1.4165	1.5259	1.4718	1.4146	1.4788
5500	1.4066	1.42	1.419	1.4906	1.336	1.4805	1.5832	1.5603	1.5441	1.4118	1.4495	1.5074
6000	1.3815	1.4939	1.52	1.5412	1.36	1.4075	1.4437	1.4134	1.5566	1.5583	1.5965	1.6272
6500	1.3676	1.4896	1.4045	1.3685	1.2924	1.3412	1.4241	1.451	1.4384	1.3793	1.4312	1.4581
7000	1.3675	1.4748	1.4047	1.3407	1.3519	1.3607	1.2952	1.384	1.4627	1.4927	1.3775	1.4422
7500	1.3509	1.4011	1.3713	1.3625	1.3532	1.3305	1.4277	1.3658	1.508	1.4574	1.3257	1.6444
8000	1.4575	1.5104	1.4736	1.4161	1.3916	1.445	1.4956	1.4666	1.466	1.4224	1.4703	1.4125
8500	1.5014	1.634	1.4371	1.4877	1.4059	1.367	1.3858	1.4246	1.5162	1.5325	1.497	1.5837
9000	1.3386	1.3722	1.4009	1.4417	1.3472	1.4057	1.3423	1.4664	1.4422	1.3956	1.4221	1.4787
9500	1.2864	1.3079	1.4254	1.5264	1.3259	1.4375	1.418	1.6069	1.4737	1.6614	1.4619	1.7832
10000	1.4434	1.4702	1.3812	1.5314	1.5009	1.5652	1.4771	1.6144	1.6181	1.5771	1.4681	1.6492
